Date,Sector,Industry,CapGain
2023-01-03,Basic Materials,Agricultural Inputs,-23329433.14999995
2023-01-03,Basic Materials,Aluminum,-3582116.000000014
2023-01-03,Basic Materials,Building Materials,-2638698.399999996
2023-01-03,Basic Materials,Chemicals,-2232161.0000000205
2023-01-03,Basic Materials,Coking Coal,-7751319.000000008
2023-01-03,Basic Materials,Copper,735591.9999999925
2023-01-03,Basic Materials,Gold,28541488.499999955
2023-01-03,Basic Materials,Independent Oil & Gas,77468.99999999997
2023-01-03,Basic Materials,Lumber & Wood Production,-3249733.999999999
2023-01-03,Basic Materials,Other Industrial Metals & Mining,-26152940.23999992
2023-01-03,Basic Materials,Other Precious Metals & Mining,-718739.9999999967
2023-01-03,Basic Materials,Paper & Paper Products,-509206.9999999975
2023-01-03,Basic Materials,Silver,-887768.0000000012
2023-01-03,Basic Materials,Specialty Chemicals,-27951395.92000004
2023-01-03,Basic Materials,Steel,-5314880.850000005
2023-01-03,Communication Services,Advertising Agencies,-2925311.999999994
2023-01-03,Communication Services,Broadcasting,-1613425.9999999986
2023-01-03,Communication Services,Electronic Gaming & Multimedia,14784707.000000011
2023-01-03,Communication Services,Internet Content & Information,12775617.750000168
2023-01-03,Communication Services,Publishing,611321.4699999975
2023-01-03,Communication Services,Telecom Services,35620250.89999968
2023-01-03,Communication Services,bond etf,-42610803.80000022
2023-01-03,Consumer Cyclical,Apparel Manufacturing,-350877.76000001
2023-01-03,Consumer Cyclical,Apparel Retail,-21762163.99999996
2023-01-03,Consumer Cyclical,Auto & Truck Dealerships,-12636301.430000013
2023-01-03,Consumer Cyclical,Auto Manufacturers,-2534543358.940001
2023-01-03,Consumer Cyclical,Auto Parts,-17182284.939999994
2023-01-03,Consumer Cyclical,Department Stores,-19622043.0
2023-01-03,Consumer Cyclical,Footwear & Accessories,-13279374.399999963
2023-01-03,Consumer Cyclical,"Furnishings, Fixtures & Appliances",-2117994.209999993
2023-01-03,Consumer Cyclical,Gambling,-7232931.599999994
2023-01-03,Consumer Cyclical,Home Improvement Retail,-8892494.00000003
2023-01-03,Consumer Cyclical,Internet Retail,-30559937.00999999
2023-01-03,Consumer Cyclical,Leisure,-3379588.8000000007
2023-01-03,Consumer Cyclical,Lodging,-14508311.999999996
2023-01-03,Consumer Cyclical,Luxury Goods,-6302976.000000016
2023-01-03,Consumer Cyclical,Packaging & Containers,2028400.3299999803
2023-01-03,Consumer Cyclical,Personal Services,-4980712.200000023
2023-01-03,Consumer Cyclical,Recreational Vehicles,-2989936.199999992
2023-01-03,Consumer Cyclical,Residential Construction,-611727.9999999623
2023-01-03,Consumer Cyclical,Resorts & Casinos,-10637999.000000022
2023-01-03,Consumer Cyclical,Restaurants,-28453163.999999933
2023-01-03,Consumer Cyclical,Specialty Retail,-51244289.90000011
2023-01-03,Consumer Cyclical,Textile Manufacturing,-4962.999999999677
2023-01-03,Consumer Cyclical,Travel Services,-34375422.99999995
2023-01-03,Consumer Defensive,Beverages - Brewers,-9246670.000000002
2023-01-03,Consumer Defensive,Beverages - Non-Alcoholic,-22764437.890000045
2023-01-03,Consumer Defensive,Beverages - Wineries & Distilleries,-10259591.400000015
2023-01-03,Consumer Defensive,Confectioners,-5680371.249999989
2023-01-03,Consumer Defensive,Discount Stores,131622.99999984633
2023-01-03,Consumer Defensive,Education & Training Services,7634179.999999995
2023-01-03,Consumer Defensive,Farm Products,-8489416.789999995
2023-01-03,Consumer Defensive,Food Distribution,-3546318.0000000144
2023-01-03,Consumer Defensive,Grocery Stores,-5428649.999999985
2023-01-03,Consumer Defensive,Household & Personal Products,6730077.999999953
2023-01-03,Consumer Defensive,Packaged Foods,-6203090.839999984
