"Date","Sector","CapGain"
"2023-01-03","Basic Materials",-74963844.06
"2023-01-03","Communication Services",16642355.31999965
"2023-01-03","Consumer Cyclical",-2823640453.0600014
"2023-01-03","Consumer Defensive",-57191777.370000236
"2023-01-03","Energy",-638688620.0399997
"2023-01-03","Financial Services",-141885513.7999998
"2023-01-03","Healthcare",-156158319.01000005
"2023-01-03","Industrials",-130768932.77999984
"2023-01-03","Real Estate",-54642909.959999934
"2023-01-03","Technology",-1730763123.030001
"2023-01-03","Utilities",-41235170.00000015
"2023-01-03","bond",-1181699234.5499995
"2023-01-04","Basic Materials",163720758.0399999
"2023-01-04","Communication Services",203476594.5300006
"2023-01-04","Consumer Cyclical",1697191385.8400009
"2023-01-04","Consumer Defensive",52672095.229999974
"2023-01-04","Energy",280786486.36000013
"2023-01-04","Financial Services",363633600.3100002
"2023-01-04","Healthcare",191231905.59000012
"2023-01-04","Industrials",300227875.68999994
"2023-01-04","Real Estate",117723171.71999997
"2023-01-04","Technology",-123748984.41999957
"2023-01-04","Utilities",30196770.000000026
"2023-01-04","bond",691360671.5699986
"2023-01-05","Basic Materials",34839489.850000404
"2023-01-05","Communication Services",128477112.88000007
"2023-01-05","Consumer Cyclical",324225364.0000005
"2023-01-05","Consumer Defensive",-84215268.40000017
"2023-01-05","Energy",256585581.94999984
"2023-01-05","Financial Services",-85967764.6200002
"2023-01-05","Healthcare",-163381158.69999948
"2023-01-05","Industrials",-36280741.76000005
"2023-01-05","Real Estate",-76423123.65000007
"2023-01-05","Technology",-798564013.7999994
"2023-01-05","Utilities",-87725027.99999999
"2023-01-05","bond",-103210273.05000435
"2023-01-06","Basic Materials",219160253.18999994
"2023-01-06","Communication Services",221227481.88000017
"2023-01-06","Consumer Cyclical",2961503782.4300003
"2023-01-06","Consumer Defensive",302931856.07000005
"2023-01-06","Energy",144776314.34
"2023-01-06","Financial Services",465573867.79999983
"2023-01-06","Healthcare",20454756.990000095
"2023-01-06","Industrials",500622067.77000004
"2023-01-06","Real Estate",167866879.24
"2023-01-06","Technology",1358476742.23
"2023-01-06","Utilities",55767309.99999992
"2023-01-06","bond",1628227888.9099953
"2023-01-09","Basic Materials",-38542941.26000003
"2023-01-09","Communication Services",-202295065.64000034
"2023-01-09","Consumer Cyclical",104786240.46000117
"2023-01-09","Consumer Defensive",-137814109.66
"2023-01-09","Energy",-210532516.9599997
"2023-01-09","Financial Services",-42152887.43999964
"2023-01-09","Healthcare",-683463444.0999995
"2023-01-09","Industrials",-123997677.19000019
"2023-01-09","Real Estate",-22798904.270000033
"2023-01-09","Technology",388837185.4000001
"2023-01-09","Utilities",52209371.999999985
"2023-01-09","bond",-592885002.4699963
"2023-01-10","Basic Materials",118316774.59999986
"2023-01-10","Communication Services",707450689.5100003
"2023-01-10","Consumer Cyclical",262504692.79000112
"2023-01-10","Consumer Defensive",15040248.81999993
"2023-01-10","Energy",46831568.45999951
"2023-01-10","Financial Services",422987192.3999995
"2023-01-10","Healthcare",725799543.2099999
"2023-01-10","Industrials",316607881.3699998
"2023-01-10","Real Estate",43825436.31999994
"2023-01-10","Technology",818879667.59
"2023-01-10","Utilities",26392400.000000108
"2023-01-10","bond",682100109.9399977
"2023-01-11","Basic Materials",61901422.14999993
"2023-01-11","Communication Services",237410184.29999918
"2023-01-11","Consumer Cyclical",1160449124.6899989
"2023-01-11","Consumer Defensive",-35463159.98999986
"2023-01-11","Energy",-109722513.79999965
"2023-01-11","Financial Services",215085200.3700001
"2023-01-11","Healthcare",207928322.01999965
"2023-01-11","Industrials",584845329.6500002
"2023-01-11","Real Estate",224368539.20000008
"2023-01-11","Technology",909762551.7400012
"2023-01-11","Utilities",58362766.999999955
"2023-01-11","bond",871975048.3999977
"2023-01-12","Basic Materials",63390241.33000001
"2023-01-12","Communication Services",144208860.87999988
"2023-01-12","Consumer Cyclical",455866287.659999
"2023-01-12","Consumer Defensive",-90896334.5499998
"2023-01-12","Energy",271416940.45
"2023-01-12","Financial Services",216938203.86000004
"2023-01-12","Healthcare",205339800.67000008
"2023-01-12","Industrials",278662914.10999966
"2023-01-12","Real Estate",91698858.66999997
"2023-01-12","Technology",586654914.8000009
"2023-01-12","Utilities",-35457763.99999997
"2023-01-12","bond",541421869.4999982
"2023-01-13","Basic Materials",126741044.82
"2023-01-13","Communication Services",204375226.1799998
"2023-01-13","Consumer Cyclical",2043560546.430002
"2023-01-13","Consumer Defensive",123548072.44999991
"2023-01-13","Energy",61904171.440000184
"2023-01-13","Financial Services",892450786.2599992
"2023-01-13","Healthcare",394415326.9699998
"2023-01-13","Industrials",373307272.83000016
"2023-01-13","Real Estate",53658032.21999997
"2023-01-13","Technology",1308724202.4099994
"2023-01-13","Utilities",-927545.0000000105
"2023-01-13","bond",1114115538.9100006
"2023-01-17","Basic Materials",-108197649.60000001
"2023-01-17","Communication Services",-207390877.7199997
"2023-01-17","Consumer Cyclical",977967302.9100006
"2023-01-17","Consumer Defensive",-12976658.440000065
"2023-01-17","Energy",-9489756.679999687
"2023-01-17","Financial Services",-257627992.52999958
"2023-01-17","Healthcare",-11093489.94999986
"2023-01-17","Industrials",-185665196.82000044
"2023-01-17","Real Estate",23461270.530000046
"2023-01-17","Technology",1032627955.4599987
"2023-01-17","Utilities",-16327192.000000013
"2023-01-17","bond",-169517945.3800009
"2023-01-18","Basic Materials",-271591446.70000005
"2023-01-18","Communication Services",-390788247.1099996
"2023-01-18","Consumer Cyclical",-2482460649.02
"2023-01-18","Consumer Defensive",-471585733.0899999
"2023-01-18","Energy",-490189010.9300002
"2023-01-18","Financial Services",-776985559.2300001
"2023-01-18","Healthcare",-576140577.7099998
"2023-01-18","Industrials",-710610987.1999999
"2023-01-18","Real Estate",-145827362.19999993
"2023-01-18","Technology",-1486868349.9399981
"2023-01-18","Utilities",-147122907.00000003
"2023-01-18","bond",-2362642926.989997
"2023-01-19","Basic Materials",4119101.669999979
"2023-01-19","Communication Services",195881138.08999923
"2023-01-19","Consumer Cyclical",-300347830.5399997
"2023-01-19","Consumer Defensive",271852879.11
"2023-01-19","Energy",262705093.37999994
"2023-01-19","Financial Services",81200748.87000018
"2023-01-19","Healthcare",46425346.6600005
"2023-01-19","Industrials",-363770714.43999994
"2023-01-19","Real Estate",-7035380.759999964
"2023-01-19","Technology",-762698535.11
"2023-01-19","Utilities",-53864282.999999985
"2023-01-19","bond",-79515651.44000494
"2023-01-20","Basic Materials",183603580.15999982
"2023-01-20","Communication Services",893865054.7199999
"2023-01-20","Consumer Cyclical",1477477843.6599972
"2023-01-20","Consumer Defensive",-305176552.4799999
"2023-01-20","Energy",165939556.83999977
"2023-01-20","Financial Services",690763615.3300004
"2023-01-20","Healthcare",346009097.92
"2023-01-20","Industrials",349687260.3199995
"2023-01-20","Real Estate",109060358.36999984
"2023-01-20","Technology",2067534022.1699972
"2023-01-20","Utilities",51196750.99999989
"2023-01-20","bond",1444859068.2999969
"2023-01-23","Basic Materials",85943590.46999998
"2023-01-23","Communication Services",626123942.3500001
"2023-01-23","Consumer Cyclical",2385930930.409998
"2023-01-23","Consumer Defensive",276680250.79999983
"2023-01-23","Energy",-35234010.34999979
"2023-01-23","Financial Services",468686585.83
"2023-01-23","Healthcare",74727373.90000015
"2023-01-23","Industrials",285360616.7899998
"2023-01-23","Real Estate",25578067
"2023-01-23","Technology",2837377190.9300027
"2023-01-23","Utilities",23460399.999999985
"2023-01-23","bond",1175571483.769996
"2023-01-24","Basic Materials",112129045.05000001
"2023-01-24","Communication Services",96974078.34000024
"2023-01-24","Consumer Cyclical",132798327.6299967
"2023-01-24","Consumer Defensive",13152950.419999786
"2023-01-24","Energy",16510163.020000316
"2023-01-24","Financial Services",15652178.859999798
"2023-01-24","Healthcare",-91091345.63000043
"2023-01-24","Industrials",259363471.69999996
"2023-01-24","Real Estate",18879617.01999999
"2023-01-24","Technology",197522422.54999927
"2023-01-24","Utilities",16743487.999999957
"2023-01-24","bond",330168913.0200002
"2023-01-25","Basic Materials",194313746.75000003
"2023-01-25","Communication Services",280887913.80000037
"2023-01-25","Consumer Cyclical",1406870713.6300025
"2023-01-25","Consumer Defensive",122623237.00000012
"2023-01-25","Energy",105037985.47000004
"2023-01-25","Financial Services",641467440.6399999
"2023-01-25","Healthcare",312422106.5000003
"2023-01-25","Industrials",214132327.47000015
"2023-01-25","Real Estate",33802460.069999926
"2023-01-25","Technology",1779787854.9900014
"2023-01-25","Utilities",-74428955.99999994
"2023-01-25","bond",1104469600.670007
"2023-01-26","Basic Materials",135494175.40999994
"2023-01-26","Communication Services",314147443.69000006
"2023-01-26","Consumer Cyclical",136582679.35000294
"2023-01-26","Consumer Defensive",-60736157.549999855
"2023-01-26","Energy",237471945.5799998
"2023-01-26","Financial Services",-1262174.2599998177
"2023-01-26","Healthcare",8770069.969999874
"2023-01-26","Industrials",-88349947.71000007
"2023-01-26","Real Estate",40246159.81999992
"2023-01-26","Technology",292518656.960002
"2023-01-26","Utilities",50082213.000000104
"2023-01-26","bond",350757232.309999
"2023-01-27","Basic Materials",30788174.420000028
"2023-01-27","Communication Services",636588415.21
"2023-01-27","Consumer Cyclical",6515704694.119999
"2023-01-27","Consumer Defensive",3412702.9300001916
"2023-01-27","Energy",-225422924.11000004
"2023-01-27","Financial Services",345874251.3399992
"2023-01-27","Healthcare",1637851.8200000597
"2023-01-27","Industrials",218543886.98000005
"2023-01-27","Real Estate",142932211.86
"2023-01-27","Technology",1862082416.1599996
"2023-01-27","Utilities",6648526.000000029
"2023-01-27","bond",639877935.7899985
"2023-01-30","Basic Materials",-24543616.999999855
"2023-01-30","Communication Services",-163117660.38000003
"2023-01-30","Consumer Cyclical",-2898411916.1500034
"2023-01-30","Consumer Defensive",-69823488.20000042
"2023-01-30","Energy",-233851997.23000005
"2023-01-30","Financial Services",-101576896.51000012
